Line,DataOwnerCode,DestinationCode,DestinationName50,LineDirection,LineName,LinePlanningNumber,LinePublicNumber,LineWheelchairAccessible,TransportType
AVV_100804_1,AVV,1454,Buschmühle Friedhof,1,,100804,V,UNKNOWN,BUS
ARR_28167_2,ARR,2671,Alde Leie Brug,2,Alde Leie - Stiens,28167,7911,NOTACCESSIBLE,BUS
CXX_H135_1,CXX,H13502829,Den Helder Station,1,Hoorn Station - Wieringerwerf - Den Helder,H135,135,ACCESSIBLE,BUS
AVV_100804_2,AVV,1843,Ronheider Weg (Pius-Gymnasium),2,,100804,V,UNKNOWN,BUS
ARR_28167_1,ARR,2428,Stiens Wythusterwei,1,Alde Leie - Stiens,28167,7911,NOTACCESSIBLE,BUS
CXX_H135_2,CXX,H13500450,Hoorn Station,2,Hoorn Station - Wieringerwerf - Den Helder,H135,135,ACCESSIBLE,BUS
ARR_6265_1,ARR,6031,Beneden-Leeuwen,1,Beneden-Leeuwen - Dreumel,6265,265,UNKNOWN,BUS
ARR_28230_2,ARR,2694,Raerd Selanswei,2,"Raerd, Selanswei - Mantgum, Station",28230,8181,NOTACCESSIBLE,BUS
ARR_28483_1,ARR,1722,Heerenveen Busstation,1,"Katlijk, Dorp - Heerenveen, Busstation",28483,6241,NOTACCESSIBLE,BUS
ARR_6265_2,ARR,6034,Dreumel,2,Beneden-Leeuwen - Dreumel,6265,265,UNKNOWN,BUS
ARR_28483_2,ARR,2800,Katlijk Dorp,2,"Katlijk, Dorp - Heerenveen, Busstation",28483,6241,NOTACCESSIBLE,BUS
ARR_28230_1,ARR,2643,Mantgum Station,1,"Raerd, Selanswei - Mantgum, Station",28230,8181,NOTACCESSIBLE,BUS
ARR_23311_2,ARR,9545,Oud Gastel,2,Breda via Etten-Leur - Oud Gastel,23311,311,UNKNOWN,BUS
ARR_23311_1,ARR,9341,Breda,1,Breda via Etten-Leur - Oud Gastel,23311,311,UNKNOWN,BUS
QBUZZ_u027_1,QBUZZ,2625,Science Park,1,Zuilen - Science Park,u027,27,ACCESSIBLE,BUS
QBUZZ_u027_2,QBUZZ,2627,Zuilen-Noord,2,Zuilen - Science Park,u027,27,ACCESSIBLE,BUS
QBUZZ_d020_1,QBUZZ,6211,Diever via Dieverbrug,1,Assen - Dieverbrug - Steenwijk (- Meppel),d020,20,ACCESSIBLE,BUS
GVB_52_2,GVB,ND,Noord,2,Noord - Station Zuid,52,52,ACCESSIBLE,METRO
AVV_100082_1,AVV,1986,Monschau Parkhaus,1,,100082,82,UNKNOWN,BUS
GVB_52_1,GVB,SZD,Station Zuid,1,Noord - Station Zuid,52,52,ACCESSIBLE,METRO
QBUZZ_m007_1,QBUZZ,3181,Sterrenburg,1,Sterrenburg - Dordrecht CS - Dordtse Kil,m007,7,ACCESSIBLE,BUS
ARR_51621_2,ARR,2374,Gorredijk,2,Akkrum - Gorredijk,51621,621,UNKNOWN,BUS
AVV_100082_2,AVV,1999,Simmerath Bushof,2,,100082,82,UNKNOWN,BUS
ARR_51621_1,ARR,1717,Akkrum,1,Akkrum - Gorredijk,51621,621,UNKNOWN,BUS
ARR_28034_1,ARR,2807,Ferwert Prov. weg,1,"Reitsum - Ferwert, Prov. weg",28034,7114,NOTACCESSIBLE,BUS
QBUZZ_m007_2,QBUZZ,3112,Centrum via CS,2,Sterrenburg - Dordrecht CS - Dordtse Kil,m007,7,ACCESSIBLE,BUS
CXX_Z608_2,CXX,Z60802738,Sas van Gent Suikerplein,2,Sas van Gent - Hulst,Z608,608,NOTACCESSIBLE,BUS
CXX_Z608_1,CXX,Z60802632,Hulst Reynaertcollege,1,Sas van Gent - Hulst,Z608,608,NOTACCESSIBLE,BUS
QBUZZ_d020_2,QBUZZ,217,Assen,2,Assen - Dieverbrug - Steenwijk (- Meppel),d020,20,ACCESSIBLE,BUS
ARR_23115_2,ARR,9714,Zundert,2,Breda - Zundert,23115,115,UNKNOWN,BUS
RET_380_1,RET,BKRIM---,Krimpen a/d IJssel,1,Capelsebrug - Krimpen a/d IJssel,380,97,UNKNOWN,BUS
ARR_23115_1,ARR,9341,Breda,1,Breda - Zundert,23115,115,UNKNOWN,BUS
ARR_22294_1,ARR,9542,Oss,1,Oss via Ravenstein - Dieden,22294,294,UNKNOWN,BUS
ARR_22294_2,ARR,9267,Ravenstein,2,Oss via Ravenstein - Dieden,22294,294,UNKNOWN,BUS
ARR_28350_2,ARR,2655,Nijhuizum,2,"Nijhuizum - Workum, Station",28350,9351,NOTACCESSIBLE,BUS
CXX_A002_2,CXX,A00201010,Arnhem CS,2,Arnhem CS - De Laar West,A002,2,ACCESSIBLE,BUS
ARR_28350_1,ARR,1782,Workum Station,1,"Nijhuizum - Workum, Station",28350,9351,NOTACCESSIBLE,BUS
AVV_100029_2,AVV,1586,Alsdorf Annapark,2,,100029,29,UNKNOWN,BUS
QBUZZ_g178_1,QBUZZ,850,Groningen,1,Appingedam - Groningen,g178,178,ACCESSIBLE,BUS
AVV_100029_1,AVV,7f104c7907,Bus,1,,100029,29,UNKNOWN,BUS
QBUZZ_g178_2,QBUZZ,494,Siddeburen,2,Appingedam - Groningen,g178,178,ACCESSIBLE,BUS
CXX_N074_2,CXX,N07403161,IJmuiden Zeewijk,2,IJmuiden Dennekoplaan - Heemskerk Centrum,N074,74,ACCESSIBLE,BUS
CXX_N074_1,CXX,N07400587,Beverwijk Station,1,IJmuiden Dennekoplaan - Heemskerk Centrum,N074,74,ACCESSIBLE,BUS
CXX_A505_1,CXX,A505265541,Overberg via De Klomp,1,Buurtbus Wekerom - Overberg,A505,505,NOTACCESSIBLE,BUS
CXX_A505_2,CXX,A50509473,Wekerom,2,Buurtbus Wekerom - Overberg,A505,505,NOTACCESSIBLE,BUS
QBUZZ_g637_1,QBUZZ,591,Zuidhorn,1,Zoutkamp - Groningen,g637,637,ACCESSIBLE,BUS
QBUZZ_g637_2,QBUZZ,586,Zoutkamp,2,Zoutkamp - Groningen,g637,637,ACCESSIBLE,BUS
CXX_H967_2,CXX,H96703566,Overal Flex Reserveer via app of 088-6000981,2,Overal Flex Heiloo,H967,FLX,NOTACCESSIBLE,BUS
CXX_H967_1,CXX,H96706399,Overal Flex Reserveer via app of 088-6000981,1,Overal Flex Heiloo,H967,FLX,NOTACCESSIBLE,BUS
ARR_28243_2,ARR,2574,Grou Sporthal N.Z.,2,"Grou, Parkstraat  - Grou, Station",28243,8301,NOTACCESSIBLE,BUS
KEOLIS_4060_1,KEOLIS,4277,Oldenzaal De Thij,1,Enschede - Oldenzaal,4060,60,ACCESSIBLE,BUS
RET_50_1,RET,TMHV----,Maashaven,1,Carnisselande - Maashaven,50,25,UNKNOWN,TRAM
KEOLIS_4060_2,KEOLIS,4239,Enschede CS,2,Enschede - Oldenzaal,4060,60,ACCESSIBLE,BUS
RET_50_2,RET,TCAR----,Carnisselande,2,Carnisselande - Maashaven,50,25,UNKNOWN,TRAM
ARR_28110_2,ARR,2593,Hantum,2,"Hantum - Dokkum, Sionsberg",28110,7362,NOTACCESSIBLE,BUS
ARR_28110_1,ARR,2532,Dokkum Sionsberg,1,"Hantum - Dokkum, Sionsberg",28110,7362,NOTACCESSIBLE,BUS
ARR_26203_2,ARR,5371,Heerlen Station,2,Schinveld/Brunssum via Heerlen - Parkstad Stadion,26203,3,UNKNOWN,BUS
ARR_26203_1,ARR,5315,Brunssum,1,Schinveld/Brunssum via Heerlen - Parkstad Stadion,26203,3,UNKNOWN,BUS
KEOLIS_4532_1,KEOLIS,4220,Borne Station,1,Buurtbus Borne lus C,4532,532,ACCESSIBLE,BUS
KEOLIS_5080_1,KEOLIS,5234,Veenendaal Stat. De Klomp,1,Amersfoort - Veenendaal-De Klomp,5080,80,ACCESSIBLE,BUS
ARR_22860_2,ARR,9744,Efteling,2,'s-Hertogenbosch - De Efteling,22860,800,UNKNOWN,BUS
ARR_22860_1,ARR,9401,Den Bosch,1,'s-Hertogenbosch - De Efteling,22860,800,UNKNOWN,BUS
ARR_28243_1,ARR,2573,Grou-Jirnsum Station,1,"Grou, Parkstraat  - Grou, Station",28243,8301,NOTACCESSIBLE,BUS
KEOLIS_5080_2,KEOLIS,5247,Amersfoort via Leusden,2,Amersfoort - Veenendaal-De Klomp,5080,80,ACCESSIBLE,BUS
ARR_28047_2,ARR,2509,Burdaard Jislumerdyk,2,"Burdaard - Dokkum, Busstation",28047,7151,NOTACCESSIBLE,BUS
CXX_H002_1,CXX,H002433451,Overdie via Station,1,Alkmaar Daalmeer - Station - Overdie,H002,2,ACCESSIBLE,BUS
